Country,Region,Sub-region
Afghanistan,Asia,South Asia
Albania,Europe,Central and Eastern Europe
Algeria,Middle East and North Africa,North Africa
Andorra,Europe,Western Europe
Angola,Sub-Saharan Africa,Southern Africa
Antigua and Barbuda,Americas,Caribbean
Argentina,Americas,South America
Armenia,Europe,Central and Eastern Europe
Australia,Pacific,Australia and New Zealand
Austria,Europe,Western Europe
Azerbaijan,Europe,Central and Eastern Europe
Bahamas,Americas,Caribbean
Bahrain,Middle East and North Africa,Middle East
Bangladesh,Asia,South Asia
Barbados,Americas,Caribbean
Belarus,Europe,Central and Eastern Europe
Belgium,Europe,Western Europe
Belize,Americas,Central America
Benin,Sub-Saharan Africa,West Africa
Bhutan,Asia,South Asia
Bolivia (Plurinational State of),Americas,South America
Bosnia and Herzegovina,Europe,Central and Eastern Europe
Botswana,Sub-Saharan Africa,Southern Africa
Brazil,Americas,South America
Brunei Darussalam,Asia,South East Asia
Bulgaria,Europe,Central and Eastern Europe
Burkina Faso,Sub-Saharan Africa,West Africa
Burundi,Sub-Saharan Africa,Central Africa
Cabo Verde,Sub-Saharan Africa,West Africa
Cambodia,Asia,South East Asia
Cameroon,Sub-Saharan Africa,Central Africa
Canada,Americas,North America
Central African Republic,Sub-Saharan Africa,Central Africa
Chad,Sub-Saharan Africa,Central Africa
Chile,Americas,South America
China,Asia,East Asia
Colombia,Americas,South America
Comoros,Sub-Saharan Africa,East Africa
Congo,Sub-Saharan Africa,Central Africa
Costa Rica,Americas,Central America
Croatia,Europe,Central and Eastern Europe
Cuba,Americas,Caribbean
Cyprus,Europe,Southern Europe
Czech Republic,Europe,Central and Eastern Europe
Côte d'Ivoire,Sub-Saharan Africa,West Africa
Democratic People's Republic of Korea,Asia,East Asia
Democratic Republic of the Congo,Sub-Saharan Africa,Central Africa
Denmark,Europe,Nordic countries
Djibouti,Sub-Saharan Africa,East Africa
Dominica,Americas,Caribbean
Dominican Republic,Americas,Caribbean
Ecuador,Americas,South America
Egypt,Middle East and North Africa,Middle East
El Salvador,Americas,Central America
Equatorial Guinea,Sub-Saharan Africa,Central Africa
Eritrea,Sub-Saharan Africa,East Africa
Estonia,Europe,Central and Eastern Europe
Eswatini,Sub-Saharan Africa,Southern Africa
Ethiopia,Sub-Saharan Africa,East Africa
Fiji,Pacific,Pacific Islands
Finland,Europe,Nordic countries
France,Europe,Western Europe
Gabon,Sub-Saharan Africa,Central Africa
Gambia (The),Sub-Saharan Africa,West Africa
Georgia,Europe,Central and Eastern Europe
Germany,Europe,Western Europe
Ghana,Sub-Saharan Africa,West Africa
Greece,Europe,Southern Europe
Grenada,Americas,Caribbean
Guatemala,Americas,Central America
Guinea,Sub-Saharan Africa,West Africa
Guinea-Bissau,Sub-Saharan Africa,West Africa
Guyana,Americas,South America
Haiti,Americas,Caribbean
Honduras,Americas,Central America
Hungary,Europe,Central and Eastern Europe
Iceland,Europe,Nordic countries
India,Asia,South Asia
Indonesia,Asia,South East Asia
Iran (Islamic Republic of),Asia,South Asia
Iraq,Middle East and North Africa,Middle East
Ireland,Europe,Western Europe
Israel,Middle East and North Africa,Middle East
Italy,Europe,Southern Europe
Jamaica,Americas,Caribbean
Japan,Asia,East Asia
Jordan,Middle East and North Africa,Middle East
Kazakhstan,Asia,Central Asia
Kenya,Sub-Saharan Africa,East Africa
Kiribati,Pacific,Pacific Islands
Kuwait,Middle East and North Africa,Middle East
Kyrgyzstan,Asia,Central Asia
Lao People's Democratic Republic,Asia,South East Asia
Latvia,Europe,Central and Eastern Europe
Lebanon,Middle East and North Africa,Middle East
Lesotho,Sub-Saharan Africa,Southern Africa
Liberia,Sub-Saharan Africa,West Africa
Libya,Middle East and North Africa,North Africa
Liechtenstein,Europe,Western Europe
Lithuania,Europe,Central and Eastern Europe
Luxembourg,Europe,Western Europe
Madagascar,Sub-Saharan Africa,Southern Africa
Malawi,Sub-Saharan Africa,Southern Africa
Malaysia,Asia,South East Asia
Maldives,Asia,South Asia
Mali,Sub-Saharan Africa,West Africa
Malta,Europe,Southern Europe
Marshall Islands,Pacific,Pacific Islands
Mauritania,Middle East and North Africa,North Africa
Mauritius,Sub-Saharan Africa,Southern Africa
Mexico,Americas,North America
Micronesia (Federated States of),Pacific,Pacific Islands
Monaco,Europe,Western Europe
Mongolia,Asia,East Asia
Montenegro,Europe,Central and Eastern Europe
Morocco,Middle East and North Africa,North Africa
Mozambique,Sub-Saharan Africa,Southern Africa
Myanmar,Asia,South East Asia
Namibia,Sub-Saharan Africa,Southern Africa
Nauru,Pacific,Pacific Islands
Nepal,Asia,South Asia
Netherlands,Europe,Western Europe
New Zealand,Pacific,Australia and New Zealand
Nicaragua,Americas,Central America
Niger,Sub-Saharan Africa,West Africa
Nigeria,Sub-Saharan Africa,West Africa
North Macedonia,Europe,Central and Eastern Europe
Norway,Europe,Nordic countries
Oman,Middle East and North Africa,Middle East
Pakistan,Asia,South Asia
Palau,Pacific,Pacific Islands
Panama,Americas,Central America
Papua New Guinea,Pacific,Pacific Islands
Paraguay,Americas,South America
Peru,Americas,South America
Philippines,Asia,South East Asia
Poland,Europe,Central and Eastern Europe
Portugal,Europe,Southern Europe
Qatar,Middle East and North Africa,Middle East
Republic of Korea,Asia,East Asia
Republic of Moldova,Europe,Central and Eastern Europe
Romania,Europe,Central and Eastern Europe
Russian Federation,Europe,Central and Eastern Europe
Rwanda,Sub-Saharan Africa,Central Africa
Saint Kitts and Nevis,Americas,Caribbean
Saint Lucia,Americas,Caribbean
Saint Vincent and the Grenadines,Americas,Caribbean
Samoa,Pacific,Pacific Islands
San Marino,Europe,Southern Europe
Sao Tome and Principe,Sub-Saharan Africa,Central Africa
Saudi Arabia,Middle East and North Africa,Middle East
Senegal,Sub-Saharan Africa,West Africa
Serbia,Europe,Central and Eastern Europe
Seychelles,Sub-Saharan Africa,Southern Africa
Sierra Leone,Sub-Saharan Africa,West Africa
Singapore,Asia,South East Asia
Slovakia,Europe,Central and Eastern Europe
Slovenia,Europe,Central and Eastern Europe
Solomon Islands,Pacific,Pacific Islands
Somalia,Sub-Saharan Africa,East Africa
South Africa,Sub-Saharan Africa,Southern Africa
South Sudan,Sub-Saharan Africa,East Africa
Spain,Europe,Southern Europe
Sri Lanka,Asia,South Asia
Sudan,Middle East and North Africa,North Africa
Suriname,Americas,South America
Sweden,Europe,Nordic countries
Switzerland,Europe,Western Europe
Syrian Arab Republic,Middle East and North Africa,Middle East
Tajikistan,Asia,Central Asia
Thailand,Asia,South East Asia
Timor-Leste,Asia,South East Asia
Togo,Sub-Saharan Africa,West Africa
Tonga,Pacific,Pacific Islands
Trinidad and Tobago,Americas,Caribbean
Tunisia,Middle East and North Africa,North Africa
Turkmenistan,Asia,Central Asia
Tuvalu,Pacific,Pacific Islands
Türkiye,Europe,Southern Europe
Uganda,Sub-Saharan Africa,East Africa
Ukraine,Europe,Central and Eastern Europe
United Arab Emirates,Middle East and North Africa,Middle East
United Kingdom,Europe,Western Europe
United Republic of Tanzania,Sub-Saharan Africa,East Africa
United States of America,Americas,North America
Uruguay,Americas,South America
Uzbekistan,Asia,Central Asia
Vanuatu,Pacific,Pacific Islands
Venezuela (Bolivarian Republic of),Americas,South America
Viet Nam,Asia,South East Asia
Yemen,Middle East and North Africa,Middle East
Zambia,Sub-Saharan Africa,Southern Africa
Zimbabwe,Sub-Saharan Africa,Southern Africa
